Prop_landscape_lost,cost_needed_for_top_fraction,min_prop_rem,ave_prop_rem,W_prop_rem,ext-1,ext-2,Species 1,Species 2,Species 3,Species 4,Species 5,Species 6,Species 7
0.07183,1.0236e+005,0.94976,0.96842,0.96924,0.00011,0.00779,0.950,0.978,0.966,0.978,0.981,0.951,0.975
0.07283,1.0225e+005,0.94894,0.96781,0.96864,0.00011,0.00795,0.949,0.978,0.965,0.978,0.980,0.950,0.974
0.07383,1.0214e+005,0.94813,0.96720,0.96804,0.00011,0.00810,0.948,0.977,0.965,0.977,0.980,0.950,0.974
0.07483,1.0203e+005,0.94732,0.96657,0.96742,0.00011,0.00826,0.947,0.977,0.964,0.977,0.979,0.949,0.973
0.07582,1.0192e+005,0.94656,0.96598,0.96684,0.00011,0.00841,0.947,0.976,0.964,0.976,0.979,0.948,0.972
0.07682,1.0181e+005,0.94574,0.96537,0.96624,0.00011,0.00856,0.946,0.976,0.963,0.976,0.978,0.948,0.972
0.07782,1.017e+005,0.94494,0.96478,0.96567,0.00011,0.00871,0.945,0.975,0.962,0.975,0.978,0.947,0.971
0.07882,1.0159e+005,0.94409,0.96419,0.96508,0.00011,0.00886,0.944,0.975,0.962,0.975,0.977,0.946,0.970
0.07981,1.0148e+005,0.94327,0.96357,0.96448,0.00011,0.00902,0.943,0.974,0.961,0.974,0.977,0.946,0.970
0.08081,1.0137e+005,0.94248,0.96298,0.96390,0.00011,0.00916,0.942,0.974,0.960,0.974,0.976,0.945,0.969
0.08181,1.0126e+005,0.94168,0.96239,0.96331,0.00012,0.00932,0.942,0.973,0.960,0.973,0.976,0.945,0.968
0.08281,1.0115e+005,0.94088,0.96181,0.96275,0.00012,0.00946,0.941,0.973,0.959,0.973,0.976,0.944,0.968
0.08380,1.0104e+005,0.94012,0.96124,0.96219,0.00012,0.00961,0.940,0.972,0.959,0.972,0.975,0.943,0.967
0.08480,1.0093e+005,0.93929,0.96066,0.96161,0.00012,0.00976,0.939,0.972,0.958,0.972,0.975,0.942,0.967
0.08580,1.0082e+005,0.93852,0.96010,0.96105,0.00012,0.00990,0.939,0.971,0.957,0.971,0.974,0.942,0.966
0.08679,1.0071e+005,0.93770,0.95949,0.96046,0.00012,0.01005,0.938,0.971,0.957,0.971,0.974,0.941,0.965
0.08779,1.006e+005,0.93685,0.95890,0.95987,0.00012,0.01020,0.937,0.970,0.956,0.970,0.974,0.940,0.965
0.08879,1.0049e+005,0.93602,0.95830,0.95929,0.00012,0.01035,0.936,0.970,0.956,0.970,0.973,0.940,0.964
0.08979,1.0038e+005,0.93516,0.95772,0.95872,0.00012,0.01050,0.935,0.969,0.955,0.969,0.973,0.939,0.964
0.09078,1.0027e+005,0.93429,0.95709,0.95811,0.00012,0.01066,0.934,0.969,0.954,0.969,0.972,0.938,0.963
0.09178,1.0016e+005,0.93344,0.95650,0.95752,0.00012,0.01081,0.933,0.968,0.954,0.968,0.972,0.938,0.962
0.09278,1.0005e+005,0.93263,0.95591,0.95694,0.00012,0.01096,0.933,0.968,0.953,0.968,0.971,0.937,0.962
0.09378,99941,0.93178,0.95530,0.95634,0.00012,0.01112,0.932,0.967,0.953,0.967,0.971,0.936,0.961
0.09477,99831,0.93094,0.95469,0.95574,0.00012,0.01127,0.931,0.967,0.952,0.967,0.971,0.935,0.960
0.09577,99721,0.93013,0.95411,0.95516,0.00012,0.01142,0.930,0.966,0.951,0.966,0.970,0.935,0.960
0.09677,99611,0.92929,0.95354,0.95460,0.00012,0.01157,0.929,0.966,0.951,0.966,0.970,0.934,0.959
0.09777,99501,0.92842,0.95294,0.95402,0.00012,0.01172,0.928,0.965,0.950,0.965,0.969,0.933,0.959
0.09876,99391,0.92758,0.95235,0.95343,0.00012,0.01187,0.928,0.965,0.950,0.965,0.969,0.932,0.958
0.09976,99281,0.92680,0.95177,0.95286,0.00012,0.01202,0.927,0.964,0.949,0.964,0.969,0.932,0.958
0.10076,99171,0.92592,0.95117,0.95227,0.00012,0.01217,0.926,0.964,0.948,0.964,0.968,0.931,0.957
0.10176,99061,0.92506,0.95057,0.95168,0.00012,0.01233,0.925,0.963,0.948,0.963,0.968,0.930,0.957
0.10275,98951,0.92417,0.94996,0.95108,0.00012,0.01248,0.924,0.963,0.947,0.963,0.967,0.929,0.956
0.10375,98841,0.92329,0.94936,0.95050,0.00012,0.01263,0.923,0.963,0.946,0.962,0.967,0.929,0.956
0.10475,98731,0.92240,0.94876,0.94991,0.00012,0.01279,0.922,0.962,0.946,0.962,0.966,0.928,0.955
0.10575,98621,0.92154,0.94815,0.94931,0.00012,0.01294,0.922,0.962,0.945,0.961,0.966,0.927,0.954
0.10674,98511,0.92069,0.94756,0.94873,0.00012,0.01310,0.921,0.961,0.945,0.961,0.966,0.926,0.954
0.10774,98401,0.91977,0.94695,0.94813,0.00012,0.01325,0.920,0.961,0.944,0.960,0.965,0.926,0.953
0.10874,98291,0.91889,0.94634,0.94753,0.00012,0.01341,0.919,0.960,0.943,0.960,0.965,0.925,0.953
0.10974,98181,0.91803,0.94575,0.94694,0.00013,0.01356,0.918,0.960,0.943,0.959,0.964,0.924,0.952
0.11073,98071,0.91710,0.94512,0.94633,0.00013,0.01372,0.917,0.959,0.942,0.959,0.964,0.923,0.952
0.11173,97961,0.91623,0.94453,0.94574,0.00013,0.01388,0.916,0.959,0.941,0.958,0.964,0.922,0.951
0.11273,97851,0.91531,0.94388,0.94511,0.00013,0.01404,0.915,0.958,0.941,0.958,0.963,0.922,0.951
0.11373,97741,0.91439,0.94326,0.94450,0.00013,0.01420,0.914,0.958,0.940,0.957,0.963,0.921,0.950
0.11472,97631,0.91347,0.94264,0.94389,0.00013,0.01436,0.913,0.957,0.940,0.956,0.962,0.920,0.949
0.11572,97521,0.91259,0.94202,0.94328,0.00013,0.01452,0.913,0.956,0.939,0.956,0.962,0.919,0.949
0.11672,97411,0.91165,0.94141,0.94268,0.00013,0.01468,0.912,0.956,0.938,0.955,0.962,0.918,0.948
0.11772,97301,0.91075,0.94078,0.94207,0.00013,0.01484,0.911,0.955,0.938,0.955,0.961,0.918,0.948
0.11871,97191,0.90980,0.94014,0.94144,0.00013,0.01500,0.910,0.955,0.937,0.954,0.961,0.917,0.947
0.11971,97081,0.90891,0.93953,0.94083,0.00013,0.01516,0.909,0.954,0.936,0.954,0.960,0.916,0.947
0.12071,96971,0.90799,0.93889,0.94020,0.00013,0.01533,0.908,0.954,0.936,0.953,0.960,0.915,0.946
0.12171,96861,0.90700,0.93824,0.93956,0.00013,0.01550,0.907,0.953,0.935,0.953,0.959,0.915,0.945
0.12270,96751,0.90610,0.93763,0.93896,0.00013,0.01566,0.906,0.953,0.934,0.952,0.959,0.914,0.945
0.12370,96641,0.90510,0.93696,0.93830,0.00013,0.01583,0.905,0.952,0.934,0.952,0.959,0.913,0.944
0.12470,96531,0.90418,0.93632,0.93767,0.00013,0.01599,0.904,0.952,0.933,0.951,0.958,0.912,0.944
0.12569,96421,0.90322,0.93567,0.93703,0.00013,0.01616,0.903,0.951,0.932,0.951,0.958,0.911,0.943
0.12669,96311,0.90226,0.93502,0.93640,0.00013,0.01633,0.902,0.951,0.932,0.950,0.957,0.911,0.943
0.12769,96201,0.90125,0.93437,0.93575,0.00013,0.01650,0.901,0.950,0.931,0.950,0.957,0.910,0.942
0.12869,96091,0.90033,0.93372,0.93510,0.00013,0.01667,0.900,0.950,0.930,0.949,0.956,0.909,0.941
0.12968,95981,0.89943,0.93305,0.93445,0.00013,0.01684,0.899,0.949,0.930,0.949,0.956,0.908,0.941
0.13068,95871,0.89850,0.93240,0.93381,0.00013,0.01701,0.899,0.948,0.929,0.948,0.955,0.907,0.940
0.13168,95761,0.89760,0.93178,0.93318,0.00013,0.01718,0.898,0.948,0.928,0.948,0.955,0.907,0.940
0.13268,95651,0.89675,0.93115,0.93255,0.00013,0.01734,0.897,0.947,0.928,0.947,0.954,0.906,0.939
0.13367,95541,0.89583,0.93049,0.93190,0.00013,0.01752,0.896,0.947,0.927,0.947,0.954,0.905,0.938
0.13467,95431,0.89490,0.92985,0.93127,0.00013,0.01768,0.895,0.946,0.926,0.946,0.953,0.904,0.938
0.13567,95321,0.89396,0.92918,0.93061,0.00013,0.01786,0.894,0.946,0.926,0.946,0.953,0.903,0.937
0.13667,95211,0.89300,0.92851,0.92995,0.00013,0.01803,0.893,0.945,0.925,0.945,0.952,0.903,0.937
0.13766,95101,0.89210,0.92784,0.92928,0.00013,0.01821,0.892,0.944,0.924,0.945,0.952,0.902,0.936
0.13866,94991,0.89117,0.92716,0.92861,0.00013,0.01839,0.891,0.944,0.924,0.944,0.951,0.901,0.935
0.13966,94881,0.89028,0.92651,0.92796,0.00013,0.01856,0.890,0.943,0.923,0.943,0.951,0.900,0.935
0.14066,94771,0.88934,0.92584,0.92730,0.00013,0.01874,0.889,0.943,0.922,0.943,0.950,0.900,0.934
0.14165,94661,0.88844,0.92518,0.92664,0.00014,0.01891,0.888,0.942,0.921,0.942,0.949,0.899,0.934
0.14265,94551,0.88749,0.92450,0.92597,0.00014,0.01909,0.887,0.941,0.921,0.942,0.949,0.898,0.933
0.14365,94441,0.88662,0.92383,0.92530,0.00014,0.01927,0.887,0.941,0.920,0.941,0.948,0.897,0.932
0.14465,94331,0.88577,0.92318,0.92466,0.00014,0.01944,0.886,0.940,0.919,0.941,0.948,0.897,0.932
0.14564,94221,0.88485,0.92252,0.92400,0.00014,0.01961,0.885,0.940,0.919,0.940,0.947,0.896,0.931
0.14664,94111,0.88395,0.92185,0.92333,0.00014,0.01979,0.884,0.939,0.918,0.940,0.947,0.895,0.931
0.14764,94001,0.88295,0.92115,0.92264,0.00014,0.01997,0.883,0.938,0.917,0.939,0.946,0.894,0.930
0.14864,93891,0.88207,0.92049,0.92198,0.00014,0.02015,0.882,0.938,0.917,0.939,0.945,0.893,0.929
0.14963,93781,0.88111,0.91980,0.92130,0.00014,0.02033,0.881,0.937,0.916,0.938,0.945,0.893,0.929
0.15063,93671,0.88019,0.91911,0.92061,0.00014,0.02052,0.880,0.937,0.915,0.938,0.944,0.892,0.928
0.15163,93561,0.87928,0.91843,0.91994,0.00014,0.02069,0.879,0.936,0.914,0.937,0.944,0.891,0.927
0.15263,93451,0.87837,0.91773,0.91925,0.00014,0.02088,0.878,0.935,0.914,0.937,0.943,0.890,0.927
0.15362,93341,0.87756,0.91706,0.91858,0.00014,0.02106,0.878,0.935,0.913,0.936,0.942,0.890,0.926
0.15462,93231,0.87666,0.91639,0.91791,0.00014,0.02124,0.877,0.934,0.912,0.936,0.942,0.889,0.925
